역명,일자, 이용인원 , 승차인원 , 하차인원 
송도달빛축제공원,2023-06-05,9873,5037,4836
계양,2023-06-06,5545,2658,2887
귤현,2023-06-06,1292,547,745
박촌,2023-06-06,4441,2314,2127
임학,2023-06-06,9576,4865,4711
계산,2023-06-06,15859,7799,8060
경인교대입구,2023-06-06,7546,3762,3784
작전,2023-06-06,15606,7904,7702
갈산,2023-06-06,8037,4104,3933
부평구청,2023-06-06,7858,3827,4031
부평시장,2023-06-06,16237,8056,8181
부평,2023-06-06,9630,4864,4766
동수,2023-06-06,4493,2296,2197
부평삼거리,2023-06-06,3762,1822,1940
간석오거리,2023-06-06,13908,7241,6667
인천시청,2023-06-06,5569,2838,2731
예술회관,2023-06-06,13323,6452,6871
인천터미널,2023-06-06,21505,10831,10674
문학경기장,2023-06-06,2002,1004,998
선학,2023-06-06,8442,4205,4237
신연수,2023-06-06,5487,2793,2694
원인재,2023-06-06,3018,1579,1439
동춘,2023-06-06,12972,6388,6584
동막,2023-06-06,5080,2735,2345
캠퍼스타운,2023-06-06,7378,3649,3729
테크노파크,2023-06-06,15833,7829,8004
지식정보단지,2023-06-06,3908,1940,1968
인천대입구,2023-06-06,9412,4648,4764
센트럴파크(재외동포청),2023-06-06,6329,3122,3207
국제업무지구,2023-06-06,1424,727,697
송도달빛축제공원,2023-06-06,6702,3325,3377
계양,2023-06-07,8126,4100,4026
귤현,2023-06-07,2706,1040,1666
박촌,2023-06-07,8135,4264,3871
임학,2023-06-07,17069,8599,8470
계산,2023-06-07,22991,11687,11304
경인교대입구,2023-06-07,11822,5897,5925
작전,2023-06-07,28745,14662,14083
갈산,2023-06-07,19483,9830,9653
부평구청,2023-06-07,14224,7013,7211
부평시장,2023-06-07,27588,13777,13811
부평,2023-06-07,12348,6082,6266
동수,2023-06-07,8706,4429,4277
부평삼거리,2023-06-07,5594,2783,2811
간석오거리,2023-06-07,22189,11614,10575
인천시청,2023-06-07,11835,5974,5861
예술회관,2023-06-07,23306,11449,11857
인천터미널,2023-06-07,25982,12909,13073
문학경기장,2023-06-07,3506,1731,1775
선학,2023-06-07,12689,6372,6317
신연수,2023-06-07,11994,6062,5932
원인재,2023-06-07,6252,3344,2908
동춘,2023-06-07,21103,10349,10754
동막,2023-06-07,11267,5942,5325
캠퍼스타운,2023-06-07,12657,6390,6267
테크노파크,2023-06-07,21341,10685,10656
지식정보단지,2023-06-07,10930,5331,5599
인천대입구,2023-06-07,17853,8917,8936
센트럴파크(재외동포청),2023-06-07,7479,3693,3786
국제업무지구,2023-06-07,3418,1737,1681
송도달빛축제공원,2023-06-07,10337,5203,5134
계양,2023-06-08,8006,4070,3936
귤현,2023-06-08,2627,994,1633
박촌,2023-06-08,8054,4209,3845
임학,2023-06-08,16339,8212,8127
계산,2023-06-08,22045,11218,10827
경인교대입구,2023-06-08,12049,6119,5930
작전,2023-06-08,28095,14253,13842
갈산,2023-06-08,19365,9819,9546
부평구청,2023-06-08,14098,6918,7180
부평시장,2023-06-08,27379,13666,13713
부평,2023-06-08,12334,6176,6158
동수,2023-06-08,8379,4208,4171
부평삼거리,2023-06-08,5231,2647,2584
간석오거리,2023-06-08,22044,11465,10579
인천시청,2023-06-08,11324,5687,5637
예술회관,2023-06-08,23656,11660,11996
인천터미널,2023-06-08,26009,13039,12970
문학경기장,2023-06-08,3389,1711,1678
선학,2023-06-08,12360,6206,6154
신연수,2023-06-08,11685,5932,5753
원인재,2023-06-08,5988,3228,2760
동춘,2023-06-08,20188,9798,10390
동막,2023-06-08,11136,5848,5288
캠퍼스타운,2023-06-08,12628,6449,6179
테크노파크,2023-06-08,20950,10455,10495
지식정보단지,2023-06-08,10765,5199,5566
인천대입구,2023-06-08,17388,8895,8493
센트럴파크(재외동포청),2023-06-08,7442,3672,3770
국제업무지구,2023-06-08,3442,1750,1692
송도달빛축제공원,2023-06-08,10019,4958,5061
계양,2023-06-09,8243,4169,4074
귤현,2023-06-09,2720,1077,1643
박촌,2023-06-09,8345,4418,3927
임학,2023-06-09,16926,8560,8366
계산,2023-06-09,23006,11730,11276
경인교대입구,2023-06-09,11742,5940,5802
작전,2023-06-09,29158,14830,14328
갈산,2023-06-09,19697,9972,9725
부평구청,2023-06-09,14599,7183,7416
부평시장,2023-06-09,28730,14372,14358
부평,2023-06-09,13676,6649,7027
동수,2023-06-09,8710,4473,4237
부평삼거리,2023-06-09,5723,2905,2818
간석오거리,2023-06-09,22622,11846,10776
인천시청,2023-06-09,11510,5860,5650
예술회관,2023-06-09,25030,11977,13053
인천터미널,2023-06-09,30236,14837,15399
문학경기장,2023-06-09,3444,1785,1659
선학,2023-06-09,13386,6745,6641
신연수,2023-06-09,11771,6016,5755
원인재,2023-06-09,6602,3511,3091
동춘,2023-06-09,21505,10488,11017
동막,2023-06-09,11952,6338,5614
캠퍼스타운,2023-06-09,13225,6762,6463
테크노파크,2023-06-09,22606,11340,11266
지식정보단지,2023-06-09,10479,5156,5323
인천대입구,2023-06-09,16937,8541,8396
센트럴파크(재외동포청),2023-06-09,8304,4089,4215
국제업무지구,2023-06-09,3446,1772,1674
송도달빛축제공원,2023-06-09,10583,5419,5164
