역명,일자, 이용인원 , 승차인원 , 하차인원 
동춘,2023-07-26,21003,10295,10708
동막,2023-07-26,11355,6011,5344
캠퍼스타운,2023-07-26,10897,5488,5409
테크노파크,2023-07-26,21281,10569,10712
지식정보단지,2023-07-26,9327,4522,4805
인천대입구,2023-07-26,12767,6362,6405
센트럴파크(재외동포청),2023-07-26,7492,3727,3765
국제업무지구,2023-07-26,3495,1771,1724
송도달빛축제공원,2023-07-26,9584,4842,4742
계양,2023-07-27,7183,3557,3626
귤현,2023-07-27,2145,875,1270
박촌,2023-07-27,7376,3884,3492
임학,2023-07-27,15395,7781,7614
계산,2023-07-27,18876,9573,9303
경인교대입구,2023-07-27,10440,5249,5191
작전,2023-07-27,26289,13423,12866
갈산,2023-07-27,18476,9242,9234
부평구청,2023-07-27,13363,6544,6819
부평시장,2023-07-27,25317,12605,12712
부평,2023-07-27,13544,6890,6654
동수,2023-07-27,8013,4096,3917
부평삼거리,2023-07-27,4850,2406,2444
간석오거리,2023-07-27,21062,11009,10053
인천시청,2023-07-27,10410,5269,5141
예술회관,2023-07-27,23633,11590,12043
인천터미널,2023-07-27,25952,12740,13212
문학경기장,2023-07-27,3561,1941,1620
선학,2023-07-27,11645,5879,5766
신연수,2023-07-27,10543,5338,5205
원인재,2023-07-27,5922,3145,2777
동춘,2023-07-27,20774,10118,10656
동막,2023-07-27,10341,5456,4885
캠퍼스타운,2023-07-27,10588,5353,5235
테크노파크,2023-07-27,21651,10872,10779
지식정보단지,2023-07-27,9431,4606,4825
인천대입구,2023-07-27,12532,6199,6333
센트럴파크(재외동포청),2023-07-27,7894,3915,3979
국제업무지구,2023-07-27,3445,1731,1714
송도달빛축제공원,2023-07-27,9435,4831,4604
계양,2023-07-28,7295,3624,3671
귤현,2023-07-28,2192,877,1315
박촌,2023-07-28,7229,3803,3426
임학,2023-07-28,15495,7886,7609
계산,2023-07-28,19100,9733,9367
경인교대입구,2023-07-28,10778,5339,5439
작전,2023-07-28,27028,13855,13173
갈산,2023-07-28,18297,9322,8975
부평구청,2023-07-28,13260,6594,6666
부평시장,2023-07-28,25801,12957,12844
부평,2023-07-28,14603,7352,7251
동수,2023-07-28,8147,4225,3922
부평삼거리,2023-07-28,4741,2385,2356
간석오거리,2023-07-28,21447,11225,10222
인천시청,2023-07-28,10457,5318,5139
예술회관,2023-07-28,24068,11392,12676
인천터미널,2023-07-28,29861,14433,15428
문학경기장,2023-07-28,12237,5832,6405
선학,2023-07-28,12313,6215,6098
신연수,2023-07-28,10455,5402,5053
원인재,2023-07-28,5679,3010,2669
동춘,2023-07-28,21373,10328,11045
동막,2023-07-28,10425,5619,4806
캠퍼스타운,2023-07-28,10977,5576,5401
테크노파크,2023-07-28,22334,11141,11193
지식정보단지,2023-07-28,9300,4542,4758
인천대입구,2023-07-28,12693,6391,6302
센트럴파크(재외동포청),2023-07-28,7673,3784,3889
국제업무지구,2023-07-28,3304,1683,1621
송도달빛축제공원,2023-07-28,9645,4928,4717
계양,2023-07-29,5517,2607,2910
귤현,2023-07-29,1408,608,800
박촌,2023-07-29,5169,2726,2443
임학,2023-07-29,10930,5575,5355
계산,2023-07-29,14637,7346,7291
경인교대입구,2023-07-29,7850,3976,3874
작전,2023-07-29,18923,9850,9073
갈산,2023-07-29,8874,4628,4246
부평구청,2023-07-29,8965,4320,4645
부평시장,2023-07-29,17228,8726,8502
부평,2023-07-29,12826,6615,6211
동수,2023-07-29,5366,2750,2616
부평삼거리,2023-07-29,3712,1849,1863
간석오거리,2023-07-29,15137,7899,7238
인천시청,2023-07-29,6397,3296,3101
예술회관,2023-07-29,16054,7400,8654
인천터미널,2023-07-29,27142,13105,14037
문학경기장,2023-07-29,13452,6568,6884
선학,2023-07-29,9272,4782,4490
신연수,2023-07-29,5704,2983,2721
원인재,2023-07-29,3775,1984,1791
동춘,2023-07-29,14811,7305,7506
동막,2023-07-29,5773,3112,2661
캠퍼스타운,2023-07-29,7807,4029,3778
테크노파크,2023-07-29,18532,9147,9385
지식정보단지,2023-07-29,3748,1900,1848
인천대입구,2023-07-29,9770,4862,4908
센트럴파크(재외동포청),2023-07-29,6619,3215,3404
국제업무지구,2023-07-29,1629,860,769
송도달빛축제공원,2023-07-29,7253,3625,3628
계양,2023-07-30,4081,1917,2164
귤현,2023-07-30,885,418,467
박촌,2023-07-30,3780,1923,1857
임학,2023-07-30,8068,4030,4038
계산,2023-07-30,11363,5644,5719
경인교대입구,2023-07-30,6542,3243,3299
작전,2023-07-30,12745,6422,6323
갈산,2023-07-30,5988,3036,2952
부평구청,2023-07-30,6704,3232,3472
부평시장,2023-07-30,13422,6673,6749
부평,2023-07-30,8792,4733,4059
동수,2023-07-30,3937,1999,1938
부평삼거리,2023-07-30,3108,1538,1570
간석오거리,2023-07-30,11389,5964,5425
인천시청,2023-07-30,4686,2406,2280
예술회관,2023-07-30,11155,5416,5739
인천터미널,2023-07-30,22241,11423,10818
문학경기장,2023-07-30,9349,4633,4716
선학,2023-07-30,7029,3487,3542
신연수,2023-07-30,4594,2336,2258
원인재,2023-07-30,2537,1327,1210
동춘,2023-07-30,11322,5656,5666
동막,2023-07-30,4207,2215,1992
캠퍼스타운,2023-07-30,5451,2748,2703
테크노파크,2023-07-30,14250,7044,7206
지식정보단지,2023-07-30,2558,1252,1306
인천대입구,2023-07-30,7005,3447,3558
센트럴파크(재외동포청),2023-07-30,5098,2491,2607
국제업무지구,2023-07-30,700,377,323
송도달빛축제공원,2023-07-30,5606,2696,2910
계양,2023-07-31,6514,3208,3306
귤현,2023-07-31,1943,762,1181
박촌,2023-07-31,6470,3411,3059
임학,2023-07-31,13847,6994,6853
계산,2023-07-31,17690,8908,8782
경인교대입구,2023-07-31,9442,4771,4671
작전,2023-07-31,24097,12219,11878
갈산,2023-07-31,15128,7735,7393
부평구청,2023-07-31,11435,5612,5823
부평시장,2023-07-31,23318,11618,11700
부평,2023-07-31,12513,6337,6176
동수,2023-07-31,7099,3648,3451
부평삼거리,2023-07-31,4239,2127,2112
간석오거리,2023-07-31,18160,9482,8678
인천시청,2023-07-31,8664,4398,4266
예술회관,2023-07-31,21349,10498,10851
인천터미널,2023-07-31,25498,12576,12922
문학경기장,2023-07-31,2960,1506,1454
선학,2023-07-31,10098,5039,5059
신연수,2023-07-31,8212,4219,3993
원인재,2023-07-31,4692,2566,2126
동춘,2023-07-31,16990,8206,8784
동막,2023-07-31,7888,4186,3702
캠퍼스타운,2023-07-31,9746,4879,4867
테크노파크,2023-07-31,19538,9747,9791
지식정보단지,2023-07-31,7501,3692,3809
인천대입구,2023-07-31,11430,5642,5788
센트럴파크(재외동포청),2023-07-31,7014,3501,3513
국제업무지구,2023-07-31,3137,1614,1523
송도달빛축제공원,2023-07-31,8573,4339,4234
계양,2023-08-01,6528,3230,3298
귤현,2023-08-01,1933,816,1117
박촌,2023-08-01,6519,3420,3099
임학,2023-08-01,14094,7165,6929
계산,2023-08-01,17621,8845,8776
경인교대입구,2023-08-01,9428,4721,4707
작전,2023-08-01,24087,12246,11841
갈산,2023-08-01,15134,7749,7385
부평구청,2023-08-01,11571,5639,5932
부평시장,2023-08-01,23317,11576,11741
부평,2023-08-01,12630,6572,6058
동수,2023-08-01,7332,3741,3591
부평삼거리,2023-08-01,3969,2010,1959
간석오거리,2023-08-01,18536,9627,8909
인천시청,2023-08-01,9216,4666,4550
예술회관,2023-08-01,21392,10383,11009
인천터미널,2023-08-01,24911,12370,12541
문학경기장,2023-08-01,3193,1613,1580
선학,2023-08-01,10351,5168,5183
신연수,2023-08-01,7948,4105,3843
원인재,2023-08-01,4711,2565,2146
동춘,2023-08-01,16775,8208,8567
동막,2023-08-01,7987,4300,3687
캠퍼스타운,2023-08-01,9780,4838,4942
테크노파크,2023-08-01,19651,9804,9847
지식정보단지,2023-08-01,7332,3620,3712
인천대입구,2023-08-01,11498,5643,5855
센트럴파크(재외동포청),2023-08-01,7144,3548,3596
국제업무지구,2023-08-01,3281,1693,1588
송도달빛축제공원,2023-08-01,8581,4336,4245
계양,2023-08-02,6593,3290,3303
귤현,2023-08-02,1890,774,1116
박촌,2023-08-02,6520,3435,3085
임학,2023-08-02,13966,7024,6942
계산,2023-08-02,17325,8705,8620
경인교대입구,2023-08-02,9443,4735,4708
작전,2023-08-02,23361,11944,11417
갈산,2023-08-02,14981,7599,7382
부평구청,2023-08-02,11305,5541,5764
부평시장,2023-08-02,22844,11424,11420
부평,2023-08-02,12833,6607,6226
동수,2023-08-02,7199,3693,3506
부평삼거리,2023-08-02,3986,2023,1963
간석오거리,2023-08-02,18554,9621,8933
인천시청,2023-08-02,9112,4586,4526
예술회관,2023-08-02,21135,10238,10897
인천터미널,2023-08-02,24902,12250,12652
문학경기장,2023-08-02,3069,1542,1527
선학,2023-08-02,10206,5150,5056
신연수,2023-08-02,7786,4014,3772
원인재,2023-08-02,4536,2475,2061
동춘,2023-08-02,16209,7944,8265
동막,2023-08-02,7962,4245,3717
캠퍼스타운,2023-08-02,9716,4851,4865
테크노파크,2023-08-02,19733,9829,9904
지식정보단지,2023-08-02,7373,3623,3750
인천대입구,2023-08-02,11697,5806,5891
센트럴파크(재외동포청),2023-08-02,7142,3558,3584
국제업무지구,2023-08-02,3344,1700,1644
송도달빛축제공원,2023-08-02,8750,4388,4362
계양,2023-08-03,6664,3286,3378
귤현,2023-08-03,1985,830,1155
박촌,2023-08-03,6518,3400,3118
임학,2023-08-03,13985,7056,6929
계산,2023-08-03,17444,8821,8623
경인교대입구,2023-08-03,9420,4746,4674
작전,2023-08-03,23965,12225,11740
갈산,2023-08-03,15798,8022,7776
부평구청,2023-08-03,11764,5788,5976
부평시장,2023-08-03,23395,11708,11687
부평,2023-08-03,12887,6549,6338
동수,2023-08-03,7304,3729,3575
부평삼거리,2023-08-03,4125,2060,2065
간석오거리,2023-08-03,18876,9858,9018
인천시청,2023-08-03,9289,4752,4537
예술회관,2023-08-03,21022,10199,10823
인천터미널,2023-08-03,24524,12019,12505
문학경기장,2023-08-03,3048,1537,1511
선학,2023-08-03,10218,5051,5167
신연수,2023-08-03,8451,4326,4125
원인재,2023-08-03,4920,2675,2245
동춘,2023-08-03,16882,8189,8693
동막,2023-08-03,8559,4581,3978
캠퍼스타운,2023-08-03,9747,4862,4885
테크노파크,2023-08-03,19675,9779,9896
지식정보단지,2023-08-03,7737,3791,3946
인천대입구,2023-08-03,11744,5853,5891
센트럴파크(재외동포청),2023-08-03,7462,3710,3752
국제업무지구,2023-08-03,3226,1657,1569
송도달빛축제공원,2023-08-03,8831,4400,4431
계양,2023-08-04,7027,3520,3507
귤현,2023-08-04,2049,834,1215
박촌,2023-08-04,6874,3593,3281
임학,2023-08-04,14396,7293,7103
계산,2023-08-04,18287,9286,9001
경인교대입구,2023-08-04,9834,4935,4899
작전,2023-08-04,24632,12557,12075
갈산,2023-08-04,16027,8096,7931
부평구청,2023-08-04,12273,5991,6282
부평시장,2023-08-04,24033,12040,11993
부평,2023-08-04,14487,7060,7427
동수,2023-08-04,7457,3875,3582
부평삼거리,2023-08-04,4252,2164,2088
간석오거리,2023-08-04,19485,10049,9436
인천시청,2023-08-04,9579,4810,4769
예술회관,2023-08-04,22250,10503,11747
인천터미널,2023-08-04,28175,13887,14288
문학경기장,2023-08-04,3066,1541,1525
선학,2023-08-04,10642,5311,5331
신연수,2023-08-04,8566,4371,4195
원인재,2023-08-04,5206,2608,2598
동춘,2023-08-04,17830,8562,9268
동막,2023-08-04,9342,4834,4508
캠퍼스타운,2023-08-04,10521,5199,5322
테크노파크,2023-08-04,21372,10611,10761
지식정보단지,2023-08-04,8191,4029,4162
인천대입구,2023-08-04,14982,7168,7814
센트럴파크(재외동포청),2023-08-04,8214,3946,4268
국제업무지구,2023-08-04,3661,1795,1866
송도달빛축제공원,2023-08-04,26899,13003,13896
계양,2023-08-05,5457,2604,2853
귤현,2023-08-05,1323,614,709
박촌,2023-08-05,4760,2447,2313
임학,2023-08-05,10189,5122,5067
계산,2023-08-05,14421,7262,7159
경인교대입구,2023-08-05,7620,3789,3831
작전,2023-08-05,17952,9143,8809
갈산,2023-08-05,8424,4363,4061
부평구청,2023-08-05,8723,4135,4588
부평시장,2023-08-05,16364,8228,8136
부평,2023-08-05,13062,6600,6462
동수,2023-08-05,5013,2590,2423
부평삼거리,2023-08-05,3658,1810,1848
간석오거리,2023-08-05,15070,7858,7212
인천시청,2023-08-05,6286,3263,3023
예술회관,2023-08-05,15908,7537,8371
인천터미널,2023-08-05,25806,12718,13088
문학경기장,2023-08-05,1615,784,831
선학,2023-08-05,9044,4537,4507
신연수,2023-08-05,5491,2828,2663
원인재,2023-08-05,3186,1592,1594
동춘,2023-08-05,14065,6867,7198
동막,2023-08-05,6138,3214,2924
캠퍼스타운,2023-08-05,7469,3852,3617
테크노파크,2023-08-05,17920,8766,9154
지식정보단지,2023-08-05,3886,2016,1870
인천대입구,2023-08-05,12477,6052,6425
센트럴파크(재외동포청),2023-08-05,7702,3707,3995
국제업무지구,2023-08-05,2023,994,1029
송도달빛축제공원,2023-08-05,27996,13484,14512
계양,2023-08-06,4053,1846,2207
귤현,2023-08-06,992,442,550
박촌,2023-08-06,3648,1908,1740
임학,2023-08-06,7625,3807,3818
계산,2023-08-06,11001,5486,5515
경인교대입구,2023-08-06,6319,3134,3185
작전,2023-08-06,12426,6365,6061
갈산,2023-08-06,6174,3146,3028
부평구청,2023-08-06,6634,3202,3432
부평시장,2023-08-06,12945,6487,6458
부평,2023-08-06,9278,4994,4284
동수,2023-08-06,3804,1902,1902
부평삼거리,2023-08-06,2852,1416,1436
간석오거리,2023-08-06,11558,6098,5460
인천시청,2023-08-06,4613,2318,2295
예술회관,2023-08-06,11265,5492,5773
인천터미널,2023-08-06,20932,10755,10177
문학경기장,2023-08-06,1021,508,513
선학,2023-08-06,7060,3557,3503
신연수,2023-08-06,4246,2210,2036
원인재,2023-08-06,2397,1258,1139
동춘,2023-08-06,11107,5466,5641
동막,2023-08-06,4274,2213,2061
캠퍼스타운,2023-08-06,5590,2829,2761
테크노파크,2023-08-06,14489,7131,7358
지식정보단지,2023-08-06,2688,1312,1376
인천대입구,2023-08-06,7812,3761,4051
센트럴파크(재외동포청),2023-08-06,5078,2486,2592
국제업무지구,2023-08-06,818,380,438
송도달빛축제공원,2023-08-06,21033,10223,10810
계양,2023-08-07,6746,3358,3388
귤현,2023-08-07,2080,831,1249
박촌,2023-08-07,6740,3517,3223
임학,2023-08-07,14222,7155,7067
계산,2023-08-07,17819,9055,8764
경인교대입구,2023-08-07,10039,5033,5006
작전,2023-08-07,24756,12632,12124
갈산,2023-08-07,17396,8781,8615
부평구청,2023-08-07,12326,6134,6192
부평시장,2023-08-07,24177,12105,12072
부평,2023-08-07,12601,6515,6086
동수,2023-08-07,7615,3844,3771
부평삼거리,2023-08-07,4245,2130,2115
간석오거리,2023-08-07,19603,10236,9367
인천시청,2023-08-07,9207,4650,4557
예술회관,2023-08-07,20785,10191,10594
인천터미널,2023-08-07,24204,12023,12181
문학경기장,2023-08-07,3140,1594,1546
선학,2023-08-07,10482,5203,5279
신연수,2023-08-07,9983,5102,4881
원인재,2023-08-07,5245,2848,2397
동춘,2023-08-07,18807,9112,9695
동막,2023-08-07,9538,5082,4456
캠퍼스타운,2023-08-07,9980,4995,4985
테크노파크,2023-08-07,20078,10028,10050
지식정보단지,2023-08-07,8905,4300,4605
인천대입구,2023-08-07,11501,5723,5778
센트럴파크(재외동포청),2023-08-07,6560,3323,3237
국제업무지구,2023-08-07,3084,1608,1476
송도달빛축제공원,2023-08-07,8774,4503,4271
계양,2023-08-08,6961,3480,3481
귤현,2023-08-08,2186,874,1312
박촌,2023-08-08,7168,3743,3425
임학,2023-08-08,14820,7485,7335
계산,2023-08-08,18310,9256,9054
경인교대입구,2023-08-08,10281,5119,5162
작전,2023-08-08,25681,13068,12613
갈산,2023-08-08,17829,9029,8800
부평구청,2023-08-08,13017,6388,6629
부평시장,2023-08-08,24404,12324,12080
부평,2023-08-08,12508,6405,6103
동수,2023-08-08,7946,4069,3877
부평삼거리,2023-08-08,4333,2180,2153
간석오거리,2023-08-08,20253,10491,9762
인천시청,2023-08-08,10197,5252,4945
예술회관,2023-08-08,22043,10778,11265
인천터미널,2023-08-08,24694,12223,12471
문학경기장,2023-08-08,7635,3695,3940
선학,2023-08-08,10961,5461,5500
신연수,2023-08-08,10122,5181,4941
원인재,2023-08-08,5459,2978,2481
동춘,2023-08-08,19531,9511,10020
동막,2023-08-08,9805,5174,4631
캠퍼스타운,2023-08-08,10404,5176,5228
테크노파크,2023-08-08,20863,10406,10457
지식정보단지,2023-08-08,9214,4451,4763
인천대입구,2023-08-08,12151,6059,6092
센트럴파크(재외동포청),2023-08-08,6858,3394,3464
국제업무지구,2023-08-08,3209,1634,1575
송도달빛축제공원,2023-08-08,9123,4591,4532
계양,2023-08-09,6904,3436,3468
귤현,2023-08-09,2207,875,1332
박촌,2023-08-09,7421,3885,3536
임학,2023-08-09,14953,7471,7482
계산,2023-08-09,18572,9462,9110
경인교대입구,2023-08-09,10200,5097,5103
작전,2023-08-09,25822,13114,12708
갈산,2023-08-09,18268,9233,9035
부평구청,2023-08-09,13042,6489,6553
부평시장,2023-08-09,25289,12605,12684
부평,2023-08-09,12871,6632,6239
동수,2023-08-09,7909,4022,3887
부평삼거리,2023-08-09,4468,2267,2201
간석오거리,2023-08-09,20655,10723,9932
인천시청,2023-08-09,10055,5097,4958
예술회관,2023-08-09,22491,11005,11486
인천터미널,2023-08-09,24963,12329,12634
문학경기장,2023-08-09,6645,3283,3362
선학,2023-08-09,11686,5838,5848
신연수,2023-08-09,10633,5442,5191
원인재,2023-08-09,5651,3060,2591
동춘,2023-08-09,19999,9787,10212
동막,2023-08-09,9892,5170,4722
캠퍼스타운,2023-08-09,10702,5376,5326
테크노파크,2023-08-09,20850,10349,10501
지식정보단지,2023-08-09,9334,4575,4759
인천대입구,2023-08-09,12859,6347,6512
센트럴파크(재외동포청),2023-08-09,7211,3583,3628
국제업무지구,2023-08-09,3249,1651,1598
송도달빛축제공원,2023-08-09,9220,4646,4574
계양,2023-08-10,5426,2755,2671
귤현,2023-08-10,1834,723,1111
박촌,2023-08-10,5715,2944,2771
임학,2023-08-10,12079,6061,6018
계산,2023-08-10,14677,7497,7180
경인교대입구,2023-08-10,8679,4363,4316
작전,2023-08-10,20805,10517,10288
갈산,2023-08-10,15973,8047,7926
부평구청,2023-08-10,10249,5010,5239
부평시장,2023-08-10,20112,9965,10147
부평,2023-08-10,9641,5011,4630
동수,2023-08-10,6758,3429,3329
부평삼거리,2023-08-10,3395,1698,1697
간석오거리,2023-08-10,16984,8832,8152
인천시청,2023-08-10,8071,4076,3995
예술회관,2023-08-10,17722,8862,8860
인천터미널,2023-08-10,18060,8901,9159
문학경기장,2023-08-10,2521,1298,1223
선학,2023-08-10,9017,4429,4588
신연수,2023-08-10,8502,4313,4189
원인재,2023-08-10,4475,2506,1969
동춘,2023-08-10,15835,7633,8202
동막,2023-08-10,8405,4439,3966
캠퍼스타운,2023-08-10,8114,4011,4103
테크노파크,2023-08-10,16608,8342,8266
지식정보단지,2023-08-10,7620,3629,3991
인천대입구,2023-08-10,9579,4644,4935
센트럴파크(재외동포청),2023-08-10,5400,2655,2745
국제업무지구,2023-08-10,2592,1318,1274
송도달빛축제공원,2023-08-10,6536,3302,3234
계양,2023-08-11,6498,3208,3290
귤현,2023-08-11,2138,851,1287
박촌,2023-08-11,6861,3614,3247
임학,2023-08-11,14324,7305,7019
계산,2023-08-11,17512,8916,8596
경인교대입구,2023-08-11,9863,4891,4972
작전,2023-08-11,24364,12425,11939
갈산,2023-08-11,17172,8722,8450
부평구청,2023-08-11,11961,5978,5983
부평시장,2023-08-11,23650,11856,11794
부평,2023-08-11,12450,6220,6230
동수,2023-08-11,7394,3836,3558
부평삼거리,2023-08-11,3948,1998,1950
간석오거리,2023-08-11,19699,10302,9397
인천시청,2023-08-11,9234,4751,4483
예술회관,2023-08-11,21511,10325,11186
인천터미널,2023-08-11,26071,12467,13604
문학경기장,2023-08-11,7258,3504,3754
선학,2023-08-11,11081,5525,5556
신연수,2023-08-11,9560,4933,4627
원인재,2023-08-11,4983,2706,2277
동춘,2023-08-11,18894,9128,9766
동막,2023-08-11,9480,5127,4353
캠퍼스타운,2023-08-11,9983,5034,4949
테크노파크,2023-08-11,19989,10043,9946
지식정보단지,2023-08-11,8546,4237,4309
인천대입구,2023-08-11,12223,5958,6265
센트럴파크(재외동포청),2023-08-11,6584,3294,3290
국제업무지구,2023-08-11,3072,1581,1491
송도달빛축제공원,2023-08-11,8360,4185,4175
계양,2023-08-12,5423,2561,2862
귤현,2023-08-12,1364,609,755
박촌,2023-08-12,5025,2663,2362
임학,2023-08-12,10635,5413,5222
계산,2023-08-12,14378,7224,7154
경인교대입구,2023-08-12,8095,4021,4074
작전,2023-08-12,19151,9903,9248
갈산,2023-08-12,8520,4432,4088
부평구청,2023-08-12,8846,4360,4486
부평시장,2023-08-12,17478,8714,8764
부평,2023-08-12,12041,6087,5954
동수,2023-08-12,5100,2616,2484
부평삼거리,2023-08-12,3856,1895,1961
간석오거리,2023-08-12,15536,8109,7427
인천시청,2023-08-12,6292,3245,3047
예술회관,2023-08-12,16060,7507,8553
인천터미널,2023-08-12,26998,12996,14002
문학경기장,2023-08-12,10362,5074,5288
선학,2023-08-12,9291,4659,4632
신연수,2023-08-12,5847,3109,2738
원인재,2023-08-12,3581,1869,1712
동춘,2023-08-12,14586,7327,7259
동막,2023-08-12,6373,3419,2954
캠퍼스타운,2023-08-12,7398,3874,3524
테크노파크,2023-08-12,17845,8776,9069
지식정보단지,2023-08-12,3928,2035,1893
인천대입구,2023-08-12,10797,5384,5413
센트럴파크(재외동포청),2023-08-12,6925,3430,3495
국제업무지구,2023-08-12,1598,882,716
송도달빛축제공원,2023-08-12,7704,3892,3812
계양,2023-08-13,4558,2130,2428
귤현,2023-08-13,1031,471,560
박촌,2023-08-13,3834,1962,1872
임학,2023-08-13,8508,4263,4245
계산,2023-08-13,12275,6145,6130
경인교대입구,2023-08-13,6742,3393,3349
작전,2023-08-13,13560,7007,6553
갈산,2023-08-13,6275,3199,3076
부평구청,2023-08-13,7053,3445,3608
부평시장,2023-08-13,13905,6992,6913
부평,2023-08-13,9536,4972,4564
동수,2023-08-13,4144,2109,2035
부평삼거리,2023-08-13,3189,1599,1590
간석오거리,2023-08-13,12190,6325,5865
인천시청,2023-08-13,4934,2524,2410
예술회관,2023-08-13,11887,5810,6077
인천터미널,2023-08-13,22619,11325,11294
문학경기장,2023-08-13,9068,4527,4541
선학,2023-08-13,7405,3648,3757
신연수,2023-08-13,4442,2265,2177
원인재,2023-08-13,2411,1235,1176
동춘,2023-08-13,9567,4781,4786
동막,2023-08-13,4400,2263,2137
캠퍼스타운,2023-08-13,5540,2772,2768
테크노파크,2023-08-13,15486,7640,7846
지식정보단지,2023-08-13,2739,1375,1364
인천대입구,2023-08-13,8395,4154,4241
센트럴파크(재외동포청),2023-08-13,5245,2570,2675
국제업무지구,2023-08-13,837,435,402
송도달빛축제공원,2023-08-13,6155,3033,3122
계양,2023-08-14,6648,3339,3309
귤현,2023-08-14,2024,851,1173
박촌,2023-08-14,7039,3716,3323
임학,2023-08-14,14000,7131,6869
계산,2023-08-14,18062,9163,8899
경인교대입구,2023-08-14,9638,4912,4726
작전,2023-08-14,24219,12447,11772
갈산,2023-08-14,15570,7954,7616
부평구청,2023-08-14,12393,6135,6258
부평시장,2023-08-14,24016,12039,11977
부평,2023-08-14,12901,6545,6356
동수,2023-08-14,7483,3894,3589
부평삼거리,2023-08-14,4290,2151,2139
간석오거리,2023-08-14,19425,10198,9227
인천시청,2023-08-14,9056,4639,4417
예술회관,2023-08-14,21887,10512,11375
인천터미널,2023-08-14,26826,13154,13672
문학경기장,2023-08-14,2964,1501,1463
선학,2023-08-14,11148,5554,5594
신연수,2023-08-14,9365,4798,4567
원인재,2023-08-14,4931,2622,2309
동춘,2023-08-14,18354,8974,9380
동막,2023-08-14,8990,4792,4198
캠퍼스타운,2023-08-14,10182,5157,5025
테크노파크,2023-08-14,19902,9893,10009
지식정보단지,2023-08-14,7568,3725,3843
인천대입구,2023-08-14,12508,6155,6353
센트럴파크(재외동포청),2023-08-14,7107,3569,3538
국제업무지구,2023-08-14,3109,1611,1498
송도달빛축제공원,2023-08-14,8902,4494,4408
계양,2023-08-15,4706,2243,2463
귤현,2023-08-15,1107,517,590
박촌,2023-08-15,4147,2148,1999
임학,2023-08-15,8865,4453,4412
계산,2023-08-15,12855,6352,6503
경인교대입구,2023-08-15,6501,3265,3236
작전,2023-08-15,14700,7483,7217
갈산,2023-08-15,7648,3843,3805
부평구청,2023-08-15,7219,3501,3718
부평시장,2023-08-15,14484,7272,7212
부평,2023-08-15,9549,5012,4537
동수,2023-08-15,4406,2253,2153
부평삼거리,2023-08-15,3336,1641,1695
간석오거리,2023-08-15,13357,6974,6383
인천시청,2023-08-15,5406,2793,2613
예술회관,2023-08-15,14144,6795,7349
인천터미널,2023-08-15,21290,10851,10439
문학경기장,2023-08-15,1932,961,971
선학,2023-08-15,7886,3959,3927
신연수,2023-08-15,5518,2807,2711
원인재,2023-08-15,2781,1501,1280
동춘,2023-08-15,13433,6625,6808
동막,2023-08-15,5017,2680,2337
캠퍼스타운,2023-08-15,5928,2991,2937
테크노파크,2023-08-15,16176,8044,8132
지식정보단지,2023-08-15,3433,1669,1764
인천대입구,2023-08-15,8954,4419,4535
센트럴파크(재외동포청),2023-08-15,5530,2734,2796
국제업무지구,2023-08-15,1638,854,784
송도달빛축제공원,2023-08-15,6374,3192,3182
계양,2023-08-16,7185,3614,3571
귤현,2023-08-16,2246,899,1347
박촌,2023-08-16,7725,4029,3696
임학,2023-08-16,15220,7714,7506
계산,2023-08-16,18894,9481,9413
경인교대입구,2023-08-16,10440,5254,5186
작전,2023-08-16,26448,13421,13027
갈산,2023-08-16,18357,9299,9058
부평구청,2023-08-16,13381,6615,6766
부평시장,2023-08-16,25509,12746,12763
부평,2023-08-16,12783,6584,6199
동수,2023-08-16,8111,4123,3988
부평삼거리,2023-08-16,5188,2630,2558
간석오거리,2023-08-16,20875,10891,9984
인천시청,2023-08-16,10618,5407,5211
예술회관,2023-08-16,23337,11392,11945
인천터미널,2023-08-16,25661,12697,12964
문학경기장,2023-08-16,3317,1633,1684
선학,2023-08-16,11804,5896,5908
신연수,2023-08-16,10412,5297,5115
원인재,2023-08-16,5621,3012,2609
동춘,2023-08-16,19923,9664,10259
동막,2023-08-16,10763,5796,4967
캠퍼스타운,2023-08-16,11221,5622,5599
테크노파크,2023-08-16,20568,10267,10301
지식정보단지,2023-08-16,9436,4573,4863
인천대입구,2023-08-16,13018,6471,6547
센트럴파크(재외동포청),2023-08-16,7387,3696,3691
국제업무지구,2023-08-16,3466,1791,1675
송도달빛축제공원,2023-08-16,9605,4802,4803
계양,2023-08-17,7319,3641,3678
귤현,2023-08-17,2338,968,1370
박촌,2023-08-17,7717,4026,3691
임학,2023-08-17,15265,7736,7529
계산,2023-08-17,18911,9657,9254
경인교대입구,2023-08-17,10456,5205,5251
작전,2023-08-17,26434,13425,13009
갈산,2023-08-17,18227,9251,8976
부평구청,2023-08-17,13813,6813,7000
부평시장,2023-08-17,25789,12863,12926
부평,2023-08-17,13024,6653,6371
동수,2023-08-17,8061,4124,3937
부평삼거리,2023-08-17,4981,2549,2432
간석오거리,2023-08-17,21162,11075,10087
인천시청,2023-08-17,10495,5337,5158
예술회관,2023-08-17,23154,11282,11872
인천터미널,2023-08-17,25656,12595,13061
문학경기장,2023-08-17,3379,1692,1687
선학,2023-08-17,11650,5780,5870
신연수,2023-08-17,10668,5375,5293
